Data,Hora,Vaga,Nome da Empresa,Tipo de Trabalho,URL,Cidade,Estado
20/11/2023,18:04,Analista de Produtividade,Aurora Coop,Presencial,https://auroracoop.gupy.io/job/eyJqb2JJZCI6NjAwNzU1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Quilombo,Santa Catarina
20/11/2023,18:03,Analista de Negócios (MAXICON) - Toledo/PR ,Folks RH,Presencial,https://folksrh.gupy.io/job/eyJqb2JJZCI6NjAwNjgyNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Toledo,Paraná
20/11/2023,17:57,Analista de Inteligência de Mercado,FuelTech,Presencial,https://fueltech.gupy.io/job/eyJqb2JJZCI6NTkyNTkyOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Porto Alegre,Rio Grande do Sul
20/11/2023,17:56,Analista de Inteligência de Mercado | Curitiba - PR (Presencial),Agil Recrutamento,Presencial,https://agil.gupy.io/job/eyJqb2JJZCI6NjAwNzQxMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Curitiba,Paraná
20/11/2023,17:55,Analista de Automação,TSA Tecnologia de Sistemas de Automação SA,Presencial,https://tsaengenharia.gupy.io/job/eyJqb2JJZCI6NjAwNjYyMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Vitória,Espírito Santo
20/11/2023,17:55,Analista de Projetos - Banco de Talentos,LYX,Presencial,https://lyx.gupy.io/job/eyJqb2JJZCI6NjAwNzUwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Curitiba,Paraná
20/11/2023,17:54,Analista de Automação,TSA Tecnologia de Sistemas de Automação SA,Presencial,https://tsaengenharia.gupy.io/job/eyJqb2JJZCI6NjAwNjYxNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Itaguaí,Rio de Janeiro
20/11/2023,17:49,Analista de Automação - ABB 800xA ,TSA Tecnologia de Sistemas de Automação SA,Presencial,https://tsaengenharia.gupy.io/job/eyJqb2JJZCI6NTk4MDY3NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Parauapebas,Pará
20/11/2023,17:29,"Analista Administrativo - Compras. Sede Administrativa, Cachoeira do Sul, Rs",Sicredi,Presencial,https://sicredi.gupy.io/job/eyJqb2JJZCI6NjAwNzI5OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Cachoeira do Sul,Rio Grande do Sul
20/11/2023,17:26,AFYA BH | Analista de Compras Júnior (Vaga Exclusiva para Profissionais com Deficiência),Afya ,Presencial,https://afya.gupy.io/job/eyJqb2JJZCI6NjAwNzM3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Belo Horizonte,Minas Gerais
20/11/2023,16:54,Analista de Inovação Junior ,Venha construir o futuro com a gente!,Presencial,https://vagas-mrveco.gupy.io/job/eyJqb2JJZCI6NjAwMjUzNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Belo Horizonte,Minas Gerais
20/11/2023,16:23,Analista de Tecnologia – Infraestrutura ,Solutis Tecnologias LTDA,Presencial,https://solutis.gupy.io/job/eyJqb2JJZCI6NjAwNjAxNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/11/2023,16:14,Analista de Engenharia de Processos Junior (Carroceria e Automação),Renault do Brasil,Presencial,https://renaultbrasil.gupy.io/job/eyJqb2JJZCI6NjAwNzA5Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São José dos Pinhais,Paraná
20/11/2023,16:03,ANALISTA CONTABLE III,Caldic LATAM,Presencial,https://caldiclatam-esp.gupy.io/job/eyJqb2JJZCI6NjAwNzA2Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/11/2023,15:54,ANALISTA DE CRÉDITO II,Confidencial,Presencial,https://portalvagas.gupy.io/job/eyJqb2JJZCI6NjAwNzAyOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
20/11/2023,15:44,Analista de Relacionamento,Grupo Ideal Trends,Presencial,https://grupoidealtrends.gupy.io/job/eyJqb2JJZCI6NjAwNjk3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/11/2023,15:18,Analista de Comunicação e Marketing Júnior (Criação e Design) ,UBEC,Presencial,https://grupoubec.gupy.io/job/eyJqb2JJZCI6NTU0MTIwNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Brasília,Distrito Federal
20/11/2023,15:15,Analista de Reporting Jr. - Matriz  ,CLAMED Administrativo,Presencial,https://clamed.gupy.io/job/eyJqb2JJZCI6NjAwNjgxMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Joinville,Santa Catarina
20/11/2023,15:10,Analista de Engenharia de Processos Junior (Carroceria e Automação),Renault do Brasil,Presencial,https://renaultbrasil.gupy.io/job/eyJqb2JJZCI6NjAwNjc3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São José dos Pinhais,Paraná
20/11/2023,15:02,ANALISTA INFRAESTRUTURA JR,Stefanini Group,Presencial,https://stefanini.gupy.io/job/eyJqb2JJZCI6NjAwMDg2OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Belo Horizonte,Minas Gerais
20/11/2023,14:47,Analista de Comunicação,TPC Logística Inteligente,Presencial,https://tpc.gupy.io/job/eyJqb2JJZCI6NjAwNjc0Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Salvador,Bahia
20/11/2023,14:35,Analista de Recrutamento e Seleção Júnior - Florianópolis,EQI Investimentos,Presencial,https://eqiinvestimentos.gupy.io/job/eyJqb2JJZCI6NjAwNjcyMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Florianópolis,Santa Catarina
20/11/2023,14:34,Analista de Contas Médicas I,Prime Results ,Presencial,https://primeresults.gupy.io/job/eyJqb2JJZCI6NTczOTMzNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Belo Horizonte,Minas Gerais
