Data,Vaga,Nome da Empresa,Tipo de Trabalho,Tipo de Vaga,URL,Cidade,Estado
24/06/2024,Analista de Trade Marketing,Grupo Refriko,Presencial,Efetiva,https://gruporfk.gupy.io/job/eyJqb2JJZCI6NzM1ODY3NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Cambé,Paraná
24/06/2024,ESPECIALISTA DE DADOS E MELHORIA CONTINUA ,Inpasa Brasil,Presencial,Efetiva,https://inpasabrasil.gupy.io/job/eyJqb2JJZCI6NzM1NjMzMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
24/06/2024,Analista de Dados ,LiveMode,Presencial,Efetiva,https://livemode.gupy.io/job/eyJqb2JJZCI6NzM1NTI1NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Rio de Janeiro,Rio de Janeiro
24/06/2024,PROFESSOR AUXILIAR I - PARADIGMAS DE LINGUAGENS DE PROGRAMACAO EM PYTHON - WYDEN UNIMETROCAMP (CÓPIA),Wyden,Presencial,vacancy_type_lecturer,https://wyden.gupy.io/job/eyJqb2JJZCI6NzM1NDA4Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Campinas,São Paulo
24/06/2024,PROFESSOR AUXILIAR I - PARADIGMAS DE LINGUAGENS DE PROGRAMACAO EM PYTHON - WYDEN UNIMETROCAMP,Estácio,Presencial,vacancy_type_lecturer,https://vempraestacio.gupy.io/job/eyJqb2JJZCI6NzMzMzE3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Campinas,São Paulo
24/06/2024,PDI SW - Estágio em Machine Learning,Inatel ,Presencial,Estágio,https://inatel.gupy.io/job/eyJqb2JJZCI6NzMxMDc4Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Santa Rita do Sapucaí,Minas Gerais
21/06/2024,CAS | Cientista de Dados - Precificação de Crédito,Sicredi,Remoto,Efetiva,https://sicredi.gupy.io/job/eyJqb2JJZCI6NzMwNDEyMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
21/06/2024,[068] Pessoa Tech Lead Salesforce CDC Data Cloud ,ilegra,Remoto,Efetiva,https://ilegra.gupy.io/job/eyJqb2JJZCI6NzM0NjA1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
21/06/2024,Pessoa Desenvolvedora Back-end Ruby,ioasys,Remoto,Efetiva,https://ioasys.gupy.io/job/eyJqb2JJZCI6NzM0NzYxNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
21/06/2024,[FRG] Analista de Tecnologia e Inovação,Leão,Híbrido,Efetiva,https://leao.gupy.io/job/eyJqb2JJZCI6NzMxNjMxMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Fazenda Rio Grande,Paraná
21/06/2024,Desenvolvedor Backend (Python),ISH Tecnologia,Híbrido,Efetiva,https://ishtecnologia.gupy.io/job/eyJqb2JJZCI6NzMyNzkzMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Vitória,Espírito Santo
21/06/2024,Data Steward (PJ) ,PRIO,Híbrido,Entidade legal,https://prio.gupy.io/job/eyJqb2JJZCI6NzMyMzA2MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Rio de Janeiro,Rio de Janeiro
21/06/2024,Front End,Vem ser Hypnobox,Híbrido,Efetiva,https://hypnobox.gupy.io/job/eyJqb2JJZCI6NzM1MDU3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
21/06/2024,Desenvolvedor Front-end,Construct IN,Híbrido,Autônomo,https://constructin.gupy.io/job/eyJqb2JJZCI6NzM0ODU2Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Leopoldo,Rio Grande do Sul
21/06/2024,Desenvolvedor Back-end,Construct IN,Híbrido,Autônomo,https://constructin.gupy.io/job/eyJqb2JJZCI6NzM0ODcxOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Leopoldo,Rio Grande do Sul
21/06/2024,Engenheiro(a) de Software - Tech Lead,VENHA SER #SANGUELARANJA 🧡🚀,Híbrido,Efetiva,https://fcamara.gupy.io/job/eyJqb2JJZCI6NzM0NTI3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
21/06/2024,Engenheiro DevOps,Construct IN,Híbrido,Autônomo,https://constructin.gupy.io/job/eyJqb2JJZCI6NzM0ODk3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Leopoldo,Rio Grande do Sul
